f,type,offset,first_harmonic,last_harmonic,left_width,right_width,comment
35.9000,0,0.0,1,1,0.0003,0.0003,% Calibration line
36.7000,0,0.0,1,1,0.0003,0.0003,% Calibration line
37.3000,0,0.0,1,1,0.0003,0.0003,% Calibration line
331.900,0,0.0,1,1,0.0003,0.0003,% Calibration line
1083.700,0,0.0,1,1,0.0003,0.0003,% Calibration line
13.800,0,0.0,1,1,0.5,0.5,% Roll modes region
60.0000,2,0.0,1,9,0.06,0.06,% Power mains
299.60,0,0.0,1,1,0.25,0.25,% Beam splitter violin mode 1st harmonic region 
302.22,0,0.0,1,1,0.08,0.08,% Beam splitter violin mode 1st harmonic region 
303.31,0,0.0,1,1,0.10,0.10,% Beam splitter violin mode 1st harmonic region 
599.14,0,0.0,1,1,0.08,0.08,% Beam splitter violin mode 2nd  harmonic region 
599.42,0,0.0,1,1,0.08,0.08,% Beam splitter violin mode 2nd harmonic region 
604.49,0,0.0,1,1,0.07,0.07,% Beam splitter violin mode 2nd harmonic region 
606.67,0,0.0,1,1,0.07,0.07,% Beam splitter violin mode 2nd harmonic region 
898.784,0,0.0,1,1,0.02,0.02,% Beam splitter violin mode 3rd harmonic region 
899.236,0,0.0,1,1,0.02,0.02,% Beam splitter violin mode 3rd harmonic region 
906.83,0,0.0,1,1,0.01,0.01,% Beam splitter violin mode 3rd harmonic region 
910.10,0,0.0,1,1,0.02,0.02,% Beam splitter violin mode 3rd harmonic region 
504.0,0,0.0,1,1,9.0,9.0,% Quad violin mode 1st harmonic region 
1000.0,0,0.0,1,1,14.0,14.0,% Quad violin mode 2nd harmonic region
1456.18,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1456.84,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1461.41,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1461.73,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1461.86,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1462.03,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1462.31,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1462.60,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1463.10,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1467.48,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1467.96,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1470.38,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1470.83,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1471.93,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1472.45,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1472.53,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1474.08,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1475.10,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1475.25,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1476.38,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1478.17,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1478.65,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1484.0,0,0.0,1,1,4.0,4.0,% Quad violin mode 3rd harmonic region
1922.93,0,0.0,1,1,0.01,0.01,% Quad violin mode 4th harmonic region
1923.61,0,0.0,1,1,0.01,0.01,% Quad violin mode 4th harmonic region
1923.86,0,0.0,1,1,0.02,0.02,% Quad violin mode 4th harmonic region
1924.67,0,0.0,1,1,0.01,0.01,% Quad violin mode 4th harmonic region
1924.92,0,0.0,1,1,0.01,0.01,% Quad violin mode 4th harmonic region
1926.24,0,0.0,1,1,0.01,0.01,% Quad violin mode 4th harmonic region
1927.47,0,0.0,1,1,0.01,0.01,% Quad violin mode 4th harmonic region
1928.46,0,0.0,1,1,0.01,0.01,% Quad violin mode 4th harmonic region
1929.31,0,0.0,1,1,0.01,0.01,% Quad violin mode 4th harmonic region
1931.57,0,0.0,1,1,0.01,0.01,% Quad violin mode 4th harmonic region
1932.14,0,0.0,1,1,0.01,0.01,% Quad violin mode 4th harmonic region
1932.34,0,0.0,1,1,0.01,0.01,% Quad violin mode 4th harmonic region
1932.61,0,0.0,1,1,0.01,0.01,% Quad violin mode 4th harmonic region
1940.32,0,0.0,1,1,0.01,0.01,% Quad violin mode 4th harmonic region
1940.66,0,0.0,1,1,0.01,0.01,% Quad violin mode 4th harmonic region
1941.35,0,0.0,1,1,0.01,0.01,% Quad violin mode 4th harmonic region
1942.13,0,0.0,1,1,0.01,0.01,% Quad violin mode 4th harmonic region
