f,type,offset,first_harmonic,last_harmonic,left_width,right_width,comment
19.15,0,0.0,1,1,0.0003,0.0003,% PR2 pitch line
19.65,0,0.0,1,1,0.0003,0.0003,% PR2 yaw line
33.7000,0,0.0,1,1,0.0003,0.0003,% Calibration line
34.7000,0,0.0,1,1,0.0003,0.0003,% Calibration line
35.3000,0,0.0,1,1,0.0003,0.0003,% Calibration line
331.300,0,0.0,1,1,0.0003,0.0003,% Calibration line
1083.100,0,0.0,1,1,0.0003,0.0003,% Calibration line
13.7500,0,0.0,1,1,0.75,0.75,% Roll modes region
60.0000,2,0.0,1,10,0.06,0.06,% Power mains
306.2,0,0.0,1,1,0.3,0.3,% Beam splitter violin mode 1st harmonic region 
307.34,0,0.0,1,1,0.01,0.01,% Beam splitter violin mode 1st harmonic region 
307.5,0,0.0,1,1,0.05,0.05,% Beam splitter violin mode 1st harmonic region 
315.1,0,0.0,1,1,0.3,0.3,% Beam splitter violin mode 1st harmonic region 
333.33,0,0.0,1,1,0.01,0.01,% Beam splitter violin mode 1st harmonic region 
612.5,0,0.0,1,1,0.05,0.05,% Beam splitter violin mode 1st harmonic region 
615.03,0,0.0,1,1,0.02,0.02,% Beam splitter violin mode 2nd harmonic region 
629.89,0,0.0,1,1,0.05,0.05,% Beam splitter violin mode 2nd harmonic region 
630.17,0,0.0,1,1,0.1,0.1,% Beam splitter violin mode 2nd harmonic region 
630.39,0,0.0,1,1,0.05,0.05,% Beam splitter violin mode 2nd harmonic region 
918.76,0,0.0,1,1,0.03,0.03,% Beam splitter violin mode 3rd harmonic region 
926.63,0,0.0,1,1,0.02,0.02,% Beam splitter violin mode 3rd harmonic region 
945.35,0,0.0,1,1,0.05,0.05,% Beam splitter violin mode 3rd harmonic region 
945.72,0,0.0,1,1,0.02,0.02,% Beam splitter violin mode 3rd harmonic region 
1225.20,0,0.0,1,1,0.02,0.02,% Beam splitter violin mode 4th harmonic region 
508.5,0,0.0,1,1,11.5,11.5,% Quad violin mode 1st harmonic region 
991.625,0,0.0,1,1,0.625,0.625,% Quad violin mode 2nd harmonic region
998.69,0,0.0,1,1,0.03,0.03,% Quad violin mode 2nd harmonic region
1019.0,0,0.0,1,1,11.0,11.0,% Quad violin mode 2nd harmonic region
1457.59,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1457.86,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1470.74,0,0.0,1,1,0.01,0.01,% Quad violin mode 3rd harmonic region
1496.0,0,0.0,1,1,4.0,4.0,% Quad violin mode 3rd harmonic region
1504.0,0,0.0,1,1,2.0,2.0,% Quad violin mode 3rd harmonic region
1511.1,0,0.0,1,1,0.5,0.5,% Quad violin mode 3rd harmonic region
